Code,ICD 11,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28,Symptom_29,Symptom_30,Symptom_31,Symptom_32,Symptom_33,Symptom_34,Symptom_35,Symptom_36,Symptom_37,Symptom_38,Symptom_39,Symptom_40,Symptom_41,Symptom_42,Symptom_43,Symptom_44,Symptom_45,Symptom_46,Symptom_47,Symptom_48,Symptom_49
11,8B93.Y,Brachial neuritis,...MORE :,,The primary symptoms of brachial neuritis are...,,Pins and needles or tingling sensation in the arm; Numbness in hand and arm; The area on the upper arm where the brachial neuritis has caused impact like above the elbow lies slightly higher than the same body area on an elbow (the elbow being represented here by the height where the hand is as it ‘slaps’ the bony part of the upper arm above the elbow.,,Your doctor may next want to discuss possible causes of brachial neuritis which include...,,,,Trauma. Recent surveys of adult cases of brachial neuritis have proven it is a fairly rare condition caused by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GB21.Z,Mastitis NOS, Decreased by more that 25% Serum total proteins decreased by more than 2 g/dL OR Blood culture positive for pathogen that is Microbiologically documented is associated with the infection Associated with a positive test for strep,,29 AR BR 12 R R 442 S Iodine S S S 457 S S S S 650 S S S S 556 S S S S S,,"30 Cultures Is: β-Hb, Coombs, CBC w/fetal spec S S S Heavy Metal tox, CXR, EKG As appropriate As appropriate",,"31 Alk phosmon BUT results are good...what next? Infection control, STOP HIV antiviral, DM therapy, Treat Rh ID DM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1B98,Cat scratch disease, (CSD):,,Differential diagnosis for CSD:,,"As with all infections, in order to distinguish single one infection from another, history of the patient and signs and symptoms are necessary to assist a doctor in determining. The most important differential diagnoses for CSD are:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DA01.30,Cellulitis or abscess of mouth," tongue, throat, tonsils or mastoid nodes",,"The list of 20 symptoms mentioned in various sources for Cellulitis or abscess of mouth, tongue, throat, tonsils or mastoid nodes includes the 23 symptoms listed below:",,"List of 20 Cellulitis or abscess of mouth, tongue, throat, tonsils or mastoid nodes Symptoms",,"Note that Cellulitis or abscess of mouth, tongue, throat, tonsils or mastoid nodes symptoms usually refers to various medical symptoms known to a patient, but the phrase Cellulitis or abscess of mouth, tongue, throat, tonsils or mastoid nodes signs may often refer to those signs that are only noticable by a doctor.",,Signs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8B9Y,Cervical disorder,,,The list of 20 symptoms listed in various sources for Cervical disorder includes the 14 symptoms listed below:,,"Large, painful lymph nodes in the neck",,Pain in the neck,,Redness and enlargement in the neck,,Pain in the neck when arms are stretched backwards,,Pain spreads to ears,,Chills without fever,,Pain feels like a deep bruise,,Tender glands in the armpit,,Sensation of a lump in the throat,,"Fever, worse at night",,Sensation that your saliva is constantly being swallowed,,Pain just behind and to the sides of the ears,,Headache felt behind the eyes,,Pain in or around the sinus area,,,,,,,,,,,,,,,,,,
16,GA04,Cervicitis,,,The list below shows 20 symptoms of Cervicitis described in various sources:,,,,,,,,General,,"Worsening of symptoms: tm. #5 in a.m., again #7 in p.m.",,Worsening of symptoms: unknown foodstuffs,,Worsening of symptoms: s.l.,,Worsening of symptoms: d.t.s.,,Worsening of symptoms: n.y. s.l. p.m.,,"Worsening of symptoms: s.l. during menses, tig. causes.",,Worsening of symptoms: tobacco,,Worsening of symptoms: sleep,,W,,,,,,,,,,,,,,,,,,,,
17,1A81,Chlamydia,,,"Pregnant women can have Chlamydia and pass it onto their babies. Women who have Chlamydia when they're pregnant can have problems with their pregnancy. During the first 3 months of your pregnancy, if you're taught you have Chlamydia, it's important you visit your GP, family planning clinic of sexual health clinic so it can be treated and you can stay healthy and give birth to a healthy baby.",,It's possible that you can catch Chlamydia more than once. You may experience further symptoms when having multiple infections. Signs that you have more than one infection include being more commonly infected in your throat than your rectum.,,Some people with Chlamydia don't have symptoms and are unaware they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8C01.2,Chronic inflammatory demyelinating polyneuropathy (CIDP),,,,• Gradually progressive muscle weakness,,"• Features classically of distal polyneuropathy: initially finger, then hand, then wrist, then shoulder girdle and, very occasionally, of proximal weakness, with ultimate sparing of the trunk",,• Wiry (fibrillated) muscle stretch reflexes,,"• Features indicating sensory system involvement: pain in hands/feet, dysaesthesia, paresthesia and dysgeusia",,• Limitation of ankle reflexes,,"• Symptoms arising from the autonomic nerves in 75%: orthostatic hypotension, bladder atonia, impotence and constipation are sometimes present",,,Management,,,• Diagnosis is confirmed by nerve conduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BC42.3/1B41.2,Chronic rheumatic fever,,,Symptoms of Chronic rheumatic fever (or similar tick-borne disorders)‘,,List of 12 tick-borne disorder,,What are possible tick-borne diseases and other infections?,,Other possibilities of tick-borne diseases are:,,"Jiang et al. recently proposed twenty-three salivary proteins, among the most noteworthy ones being acetylcholinesterase, cPLA2, CK-NAC, c-FKBP, RF NT, mtLPL, and serpins active against biotoxins. In addition a photosensitive opsin was also identified in tick saliva [10].",,Porreca et al. identified several naturally secreted molecules in tick saliva capable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MG30.04,Complex regional pain syndrome,,,"""At least 11 of the 20 following and it is almost certain that it will be a real case of "".",,Ice cubes on the affected area can relieve pain,,Itching but does not exist real itching,,"According comfort level and temperature changes, the pain a new underlying pattern",,Heat in general is pleasant,,The pain is mainly in the area where it happened prior to the process,,The pain hurts cold water,,Considered neuropathic pain,,Is similar to the pins and needles,,"Fire, electric, tearing pain",,Pain not throbbing,,Tolerance to pain changes,,"Pain or discomfort in most cases make the patient as a whole, but does not appear elsewhere in the body",,,,,,,,,,,,,,,,,,,,,,
21,9A60.Z,Conjunctivitis," By By admin Health Conjunctivitis, also called 'pink eye', is inflammation of the outer surface of the eye. There are many forms of the condition, some of which are more serious than others. Burning, itchy eyes; watering and painful eyes; and a feeling of something in the eye are common symptoms of conjunctivitis. The bug that causes conjunctivitis is contagious, and is commonly Read More",,"Food: Essential Foods When You’ve Been Concerned With Yeast Infection By By admin Health Chronic candidiasis does require treatment. Drugs often aren’t necessary, but in many cases they are. An allergist and naturopathic physician can help you with naturopathy or alternative medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9A60.Y,Conjunctivitis due to bacteria,", including relieve, cure, causes",,"This list of 20...includes: 5 symptoms of Conjunctivitis due to bacteria, 5 appearances of Conjunctivitis due to bacteria, and 10 other symptoms of Conjunctivitis due to bacteria, including diabetes.",,Medical Tools & Articles:,,About symptoms:,,A symptom is a sign of an illness. Symptoms can help a doctor diagnose an illness or disease.,,Symptoms can also be described as:,,Somatic symptoms - symptoms that affect the body,,- symptoms that affect the body Psychosomatic - symptoms that affect the mind and the body,,- symptoms that affect the mind and the body Organic symptoms - symptoms strongly suggesting an organ is the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1D84.Z,Conjunctivitis due to virus, (Adeno Herpes Zoster Herpes Simplex Varicella Desiccate) . Seeking more information on causes of Conjunctivitis due to virus (Adeno Herpes Zoster Herpes Simplex Varicella Desiccate) in detail? Read on here.,,Onset Symptoms of H1N1 as virus. Read this to obtain information about onset symptoms of H1N1 as virus.,,Onset Symptoms of Parvovirus B19. Get to know more about onset symptoms of Parvovirus B19.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,EA85.2Y,Contact dermatitis,.,,There will be many photos of patients with various diseases of skin will be presented.,,SEGMENT THREE,,"Palmer/proximal interphalangeal joints: Frozen and swollen and painful in this type of RA [reactive arthritis], it may present as burning pain when bent.",,Diseases of the Bones/Joints and Muscles/Tendons will be presented in three parts as below.,,SEGMENT FOUR,,Take a look at photos about RHEUMATOID FINGER with RED CHANGED NAILS described in Rheumatoid Arthritis.,,Screenshot (click to enlarge): Patients of these types of RA is hard to get a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9A76,Cornea infection," 20 symptoms of Cornea infection updated on: December 16, 2017 Sewage in the nose? nasal surgery asked by miami bell on May 19, 2012 please respond? nose infection Read more: Sewage in the nose? nasal surgery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1D2Z,Dengue fever,,,The list of symptomatic treatment of Dengue fever includes:,,"Melatonin is a strong supplement that reduces flushing. Tegaderm dressing has no blood and no membranes. Selective IgG levels correlate with disease manifestations. Unless levels are elevated to 20 times the standard, a case of impending infection is needed. I prefer to take blood analysis by AFP, IgA and CRP. When considering Dengue fever, the laboratory looks for three proteins (DNA, ssDNA and NS1) and viral load. In Dengue fever, these levels increase and can be detected in urine. The results of various serological tests predict patients who suffer from incipient hepatitis. The presence of small amounts of proteins in urine is generally found in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,EJ30.0,Polymorphic light eruption,. Examples: Urtica and helleborus,,,,List 20 symptoms of Polymorphic light eruption. Examples: Prunella vulgaris and lapacho,,,,List 20 symptoms of Polymorphic light eruption. Examples: Hydrastis and Saniculphur,,,,List 20 symptoms of Polymorphic light eruption. Examples: Theridion and kali iod,,,,"List 28 foods to avoid in Crohn's disease. Examples: (Foods Ingolfed) Pectin, Fat, yeast, corn, oat, potatoes, avocado, lectins",,,,List 28 foods to avoid in Crohn's disease. Examples: (Foods to Avoid as Part of the BLD Clinical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EH40.10,Primary irritant napkin dermatitis," Allergic dermatitis (sensitization of the skin) Asteatoderma symptoms, including redness, scaling of the skin, and cracks at the cheek and ankle folds or between the fingers and toes of the hands and feet Calluses are round patches of rough skin and reddening occur at heels and fingertips, indicating significant dryness, or thinness, and chloracne in the pubic region Change in the hydrating properties of the skin (dryness due to loss of natural skin's lipid barrier) Chilblains (small, intensely itchy bumps that appear on fingertips after exposure to cold temperatures) Dark patches of discoloring appear on the thighs and back of the hips and neck areas Eczema: dermatitis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1F00.03,Eczema, rash (adult always has a lot of symptoms),,"The doctor will ask about your symptoms and health history. A physical exam will be done. To help make the diagnosis, necessary tests may be done.",,Treatment of Eczema rash (adult),,"There is no cure for eczema. However, the symptoms can be managed in several ways. You can somehow put a limit to the kinds of triggers that your symptoms developed due to. Follow the tips listed below to do that.",,Avoid triggers of skin across skin barrier.,,Start using emollients. These are good for the skin as they replace the fats in your skin. It will help to lock in the moisture in your skin. It will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GB02,Epididymitis," with Acupuncture treatment,the treatment frequency.",,"The patients’ self treatment course(ren Shang) and the frequency(daily,once a week,two times a week,three times a week,once a month,twice a month,three times a month,twice a year,once a year).",,Each are for 6 times.,,To sum this up:,,It takes 6 times for the absolutely recovery!,,Do one session one session and total six sessions.,,"Then again ,this formula is for more severe case. Each Patient have their own course. No one adapt the other’s treatment. If the course is completed, the treatment is ended and do not need the other another",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,EB12.Z,Erythema multiforme,,,Treatments and medications known to cause Erythema multiforme,,Treatments for Erythema multiforme,,Helpful family doctor questions in diagnosis and patient care,,Patient experiences with Erythema multiforme,,Version Info,,Last reviewed on 4/14/2014,,"Jacob L. Heller, MD, MHA, Emergency Medicine, Virginia Mason Medical Center, Seattle, Washington. Also reviewed by David Zieve, MD, MHA, Isla Ogilvie, PhD, and the A.D.A.M. Editorial team.",,"A.D.A.M., Inc. is accredited by URAC, also known as the American",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8A63.0,Febrile seizure," - Free English-Japanese online dictionary - Glosbe 19 results for ""Febrile seizure free"" Did You",,Just Try To Cause Another Febrile Seizure?. It Did Not Work Jinora did note that blood madness was a highly stressful Iron and Blood: The Secrets of the,,"Febrile seizure between blood, febrility, and fever 23/08/2011 · An infant with a fever has a febrile seizure, sees stars, and no longer believes in clouds and rainbows.",,Febrile seizures among children with and without febrile Febrile seizures among children with and without febrile seizure is common with fever and are associated with minor risk (e.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MF3A,Bacterial vaginosis,", including infection in the vagina and sex organs. Early detection and treatment Bacterial vaginosis Bacteria are a normal.How is bacterial vaginosis treated? It is treated with an antibiotic. The BV cure rate with antibiotic treatment varies widely between studies. Does bacterial vaginosis go away.",,"Bacterial vaginosis is a very common condition among women of childbearing age.Most cases go away by themselves after about four weeks, without any treatment. For some.Learn about Bacterial Vaginosis Symptoms, Diagnosis & Treatment. Read patient stories and discuss Bacterial Vaginosis with.",,home » bacterial vaginosis (bv) » symptoms of chronic vaginitis,,Vaginosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1F28.0,Tinea capitis,", including:",,"Area affected: hairline, entire head, scalp alone",,Foul odor,,Scalp slight redness with fine cross-hatching,,"Scalp hair thinning, some patches of hair loss",,Severe itching,,Sores,,Other List 20 condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EA60.Z,Fungal infection of the skin,,,Our information shows that Fungal infection of the skin causes the following symptoms in approximatly 14 % of all cases.,,Other symptoms of Fungal infection of the skin,,The following symptoms do not cover all the possible side effects that can occur with Fungal infection of the skin. These side effects are rare and will need medical attention if they do occur.,,Fungal infection of the skin: Animations,,More Fungal infection of the skin animations & videos,,Fungal infection of the skin: Complementary and Alternative treatments,,"Papaya: Papaya and other members of the Carica papaya family which genus contains over 1200 species, also contains potent HIV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1C16,Gas gangrene,"."" Quickly someone responds, ""Fever, swelling, and redness of injured area."" In less than 10 seconds the cadre yells, ""Mother, are you there?"" The person who responded corrects himself, ""Brother is there! I mean, are you there brother!"" ""Yes,"" he responds. The cadre turns to the entire class saying, ""You see what happens when you try to help a wounded comrade."" The cadre continues, yelling. ''What happens when you try to smoke! Now take off your rigs and hike that half mile as fast as you can!""",,,This is total combat stress reaction. Most people hit the wall when the first time they have to go AWOL for the movement. A person just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FA25.2Z,Gout, and subsequent symptoms caused by it,,Symptom Name of Gout Cause subsequent symptoms 15 Excessive thirst Slowed down urination and uric acid that accumulates because of kidney malfunction,,0 15 Dry mouth Gallbladder dysfunction; stomach foods in blood circulation is little,,"0 15 Joint and muscle pain Rapid accumulation of uric acid in joints, lower extremities",,0 15 Vomiting feeling and nausea Vomiting feeling and nausea is due to increased acids of liver from thin stool,,"0 15 Confusion, scatterbrain, depression Mood affects liver and kidney functions, which is caused by overabundance of uric acid in blood circulation due to diet high in purine content",,0 15 Kidney stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1A91,Granuloma inguinale, infection including,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8D88.2,Guillain Barre syndrome,,,The list of signs and symptoms mentioned in various sources for Guillain Barre syndrome includes the 10 symptoms listed below:,,Research symptoms & diagnosis of Guillain Barre syndrome:,,Guillain Barre syndrome: Symptom Checkers,,Review the available symptom checkers for these symptoms of Guillain Barre syndrome:,,Guillain Barre syndrome: Complications,,Read information about complications of Guillain Barre syndrome.,,Research More About Guillain Barre syndrome,,Do I have Guillain Barre syndrome?,,Guillain Barre syndrome: Undiagnosed Conditions,,Diseases that may be commonly undiagnosed in related,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NA0Z,Head injury," in infants and children < 2 years, by system",,ALTERNATIVE PHRASES,,The following phrases may be helpful alternatives to query phrases beginning with Head injury in infants and children < 2 years. These phrases were added to the full reference section as alternative query phrases to begin at but not limited to query phrases starting with Head injury in infants and children < 2 years. This is merely a suggestion and these phrases do not automatically qualify any associated entries:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ED92.0,Hidradenitis suppurativa,", alternative diagnoses, rare causes, misdiagnoses, patient stories, and much more. The app has been verified by medical professionals. Download the app and book a free medical consultation. https://itunes.apple.com/us/app/hidradenitis-suppurativa-hidradenia/id1298840584?ls=1&mt=8….",,"The medical industry is doing all it can to try and research the cause of Hidradenitis Suppurativa, but in the mean time people should be able to get easier access to treatment options. Dr. Burks concluded the entire Hidradenitis Suppurativa presentation with a plea to his audience to spread awareness and start a search",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1F2A.Z,Histoplasmosis,: Representative images of histoplasmosis lesions at several sites from the Middle Atlantic Network. Image I: Photomicrograph of an infected lobe of a lung from...more >,,"Author/s: Suzi Goodrich, Melissa Thompson, Patricia Castien, Jacqueline Teems, Laura Andersen, Kevin Osborne, Micheal Ammerman, Debbi Zeinstra, Michael Keen, Jean Payne, Cindy Greving, Margaret Hill, Katherine Hoedemaker, Diane Smyth Jr., Attitudes Towards Cats in the Southwestern Region of the United States: Religiosity of Ectoparasite Prevalence, Preventative Behavior & Itchy Contact Dermatitis, Journal of the American Veterinary Medical Association, 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1E51.00,Human immunodeficiency virus infection (HIV),,,Prominent among the list of 20 signs of Human immunodeficiency virus is,,,,Unusual pigmentation of the skin is 6th most common symptom for HIV infection,,,,Profound fatigue is 3rd most common symptom for HIV infection,,,,Skin lesions is 4th most common symptom for HIV infection,,Other common symptoms for HIV infection,,The blockage and irregular flow of saliva and difficulties it creates to eat and drink.,,,,Processee swelling and enlarged lymph nodes.,,,,Exclusion of the HIV virus from whole blood samples is most common sign for HIVEVA.,,,,"After receiving an donated heart of someone who is infected with the HIVEVA virus, it is common",,,,,,,,,,,,,,,,,,
44,1B72.Z,Impetigo,,,"Symptoms of Impetigo in 1 person are listed below. The length and severity of each symptom varies from person to person. Also, no two people experience the same symptoms at the same time or with the same severity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1C1G.12,Iridocyclitis, using the free symptom checker in the sidebar. The search functions on this site are wonderful and specific.,,Return to the Home Page,,This article is copyrighted,,Please feel free to share this article with your friends using the below buttons:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,EA91,Lichen planus,-like mucocutaneous disease,,The list of signs and symptoms mentioned in various sources for Lichen planus-like mucocutaneous disease includes the 12 symptoms listed below:,,Lichen planus,,Broken veins,,Collar bone tenderness,,Facial pallor,,Collar bone tenderness,,Thickening of skin,,Visible blood vessels,,Cold fingers,,Tremulous voice,,Slow heartbeat,,Epistaxis (nose bleeding),,Dental malocclusion (bad bite),,Expected outcome of Lichen planus-like mucocutaneous disease,,List of 5 causes of Lichen planus-like mucocut,,,,,,,,,,,,,,,,,,
47,6D85.Y,Lyme disease,"; usually well-documented in medical literature and publications) using 300 mg per day dosage based on functional blood analysis Spent the entire day taking SCL-001 in the morning with a good cup of coffee Sample of blood was taken in the afternoon and evaluated for TREP1 contamination – totally negative; TREP1 continued to help normalize, pathogenic microbes typically associated with Lyme disease There was a noticeable extreme improvement in symptom suffering due to Lyme disease The 3 hour evening walk was more enjoyable than usual Recovery is taking place and able to function sufficiently to continually improve with each day positive blood response Skin lesions are lightening up in appearance with each day of SCL-001 use One applicant who had demonstrated little help with a handful of different tests Yet again",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BD90.Z,Lymphadenitis," (primary, secondary, tertiary), symptomatology and characteristics",,"Symptoms and diagnostic criteria lists: main symptoms of Lymphadenitis (primary, secondary, tertiary)",,"Lymphadenitis (primary, secondary, tertiary): Related Medical Conditions",,"To research the causes of this symptoms, consider researching the causes of these diseases that may be similar, or associated:",,"Lymphadenitis (primary, secondary, tertiary): Causes and Types",,"Causes of Types of Lymphadenitis (primary, secondary, tertiary)",,Research the causes of these more general types of medical conditions:,,"Causes of General Types of Lymphadenitis (primary, secondary, tertiary)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,BD91,Lymphangitis," infection, symptom checker overview, acute and chronic symptoms, all causes and related signs and symptoms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1A80,Chlamydial lymphogranuloma," venereum (C.L.V.), symptoms of Chlamydia trachomatis 2222",,"List 1-9 symptoms of Chancroid early (1st week), symptoms of Chlamydia trachomatis 1622",,"List 20-29 symptoms of Chorioadenitis periodontalis, symptoms of Chlamydia trachomatis 5333",,"List 1 symptoms of Chlorosis, symptoms of dietary deficiency 35911",,"List 1 symptoms of Cholangitis, symptoms of gallstones 41111",,"List 7 symptoms of Chronic cough, benign, not associated with acute infections, viral infections 41111",,"List 19 symptoms of Chronic diarrhea, symptoms of various diseases 2111",,List 10 of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
